Displacement (mm),Load (kN),Engineering Stress (GPa)
0.038525,0.91919,0.185323474
0.039378,0.94738,0.191007031
0.039548,0.96375,0.194307486
0.039888,0.98859,0.199315629
0.04057,1.01476,0.204591922
0.0404,1.04093,0.209868214
0.04023,1.06644,0.21501144
0.041252,1.09328,0.220422815
0.041082,1.11879,0.225566041
0.041424,1.14161,0.23016692
0.042276,1.15973,0.233820203
0.042104,1.19932,0.241802183
0.043128,1.22818,0.247620823
0.043128,1.25167,0.252356784
0.043638,1.27583,0.257227829
0.043468,1.30402,0.262911385
0.043638,1.33221,0.268594942
0.04398,1.35704,0.273601069
0.044492,1.37986,0.278201948
0.045514,1.40402,0.283072992
0.045344,1.43422,0.289161798
0.045684,1.46174,0.294710272
0.045684,1.48859,0.300123663
0.045514,1.51812,0.306077386
0.046878,1.54429,0.311353678
0.046708,1.56778,0.31608964
0.047048,1.59127,0.320825601
0.047048,1.61879,0.326374075
0.045684,1.62751,0.328132167
0.042446,1.58053,0.318660245
0.041082,1.57919,0.318390079
0.041252,1.59328,0.321230849
0.040912,1.61073,0.32474905
0.041594,1.62281,0.327184572
0.042104,1.62953,0.328539432
0.042104,1.63624,0.329892276
0.042276,1.64429,0.331515285
0.041764,1.651,0.332868129
0.042104,1.65906,0.334493154
0.042616,1.67114,0.336928677
0.042616,1.67919,0.338551686
0.042958,1.68523,0.339769447
0.042104,1.68657,0.340039612
0.042446,1.68791,0.340309778
0.042276,1.68456,0.339634364
0.042446,1.68255,0.339229116
0.042786,1.67516,0.337739173
0.042104,1.66644,0.335981081
0.042616,1.6557,0.333815724
0.042276,1.64563,0.331785451
0.042616,1.63758,0.330162441
0.041934,1.63557,0.329757193
0.041594,1.63154,0.32894468
0.041934,1.62684,0.327997085
0.041764,1.62013,0.326644241
0.042446,1.6114,0.324884133
0.042446,1.60469,0.323531289
0.041764,1.6,0.322585709
0.042276,1.59731,0.322043362
0.042104,1.59597,0.321773197
0.042446,1.58657,0.319878006
0.043298,1.57986,0.318525162
0.04432,1.57382,0.317307401
0.046708,1.57315,0.317172318
0.048923,1.56644,0.315819474
0.051481,1.55838,0.314194449
0.053527,1.55302,0.313113787
0.056083,1.5557,0.313654118
0.059663,1.55234,0.312976688
0.062561,1.54429,0.311353678
0.066822,1.53892,0.310271
0.06972,1.53557,0.309595586
0.073301,1.53154,0.308783073
0.076539,1.5255,0.307565312
0.079778,1.52147,0.3067528
0.084552,1.51677,0.305805204
0.08796,1.51006,0.30445236
0.09137,1.50335,0.303099516
0.09495,1.5,0.302424103
0.098189,1.49798,0.302016838
0.102621,1.49395,0.301204325
0.10586,1.48523,0.299446233
0.109952,1.47986,0.298363555
0.11319,1.47651,0.297688141
0.11677,1.47315,0.297010711
0.121031,1.47046,0.296468364
0.124441,1.46912,0.296198198
0.126657,1.46442,0.295250603
0.1316,1.45838,0.294032842
0.134328,1.45637,0.293627594
0.137566,1.45436,0.293222345
0.140806,1.45637,0.293627594
0.144897,1.45637,0.293627594
0.147965,1.45838,0.294032842
0.151033,1.45771,0.293897759
0.154102,1.46375,0.29511552
0.15666,1.46375,0.29511552
0.16058,1.46308,0.294980437
0.163137,1.46577,0.295522785
0.167057,1.46912,0.296198198
0.169445,1.46912,0.296198198
0.171831,1.47181,0.296740546
0.174558,1.47785,0.297958307
0.177456,1.4859,0.299581316
0.180866,1.48657,0.299716399
0.183764,1.48724,0.299851482
0.185809,1.4906,0.300528912
0.189559,1.49731,0.301881755
0.191947,1.50201,0.302829351
0.195525,1.50268,0.302964434
0.197912,1.50604,0.303641864
0.20064,1.50872,0.304182195
0.203368,1.51342,0.30512979
0.206436,1.51744,0.305940287
0.209674,1.5208,0.306617717
0.212231,1.52348,0.307158048
0.215641,1.5255,0.307565312
0.218027,1.52684,0.307835478
0.220755,1.53154,0.308783073
0.224506,1.54093,0.310676248
0.226722,1.53892,0.310271
0.230301,1.54093,0.310676248
0.232858,1.54228,0.31094843
0.235756,1.54765,0.312031108
0.237631,1.551,0.312706522
0.241551,1.55503,0.313519035
0.244791,1.55704,0.313924283
0.247348,1.55838,0.314194449
0.249734,1.55838,0.314194449
0.253144,1.56375,0.315277127
0.256212,1.56778,0.31608964
0.25911,1.57382,0.317307401
0.261497,1.57382,0.317307401
0.264395,1.57516,0.317577566
0.267122,1.57986,0.318525162
0.270702,1.58456,0.319472757
0.27377,1.58523,0.31960784
0.275816,1.58791,0.320148171
0.278032,1.59127,0.320825601
0.279396,1.59395,0.321365932
0.281101,1.59597,0.321773197
0.282805,1.59798,0.322178445
0.284681,1.60402,0.323396206
0.286385,1.60536,0.323666372
0.287237,1.60671,0.323938553
0.287579,1.60872,0.324343802
0.289113,1.61543,0.325696645
0.290305,1.61744,0.326101894
0.29184,1.61677,0.325966811
0.292863,1.61812,0.326238993
0.294738,1.62281,0.327184572
0.29542,1.62818,0.32826725
